S No.,Year,State,Industry,Count
1,2022,Andaman and Nicobar Islands,Agriculture,1
2,2022,Andaman and Nicobar Islands,AR VR (Augmented + Virtual Reality),1
3,2022,Andaman and Nicobar Islands,Construction,1
4,2022,Andaman and Nicobar Islands,Internet of Things,1
5,2022,Andaman and Nicobar Islands,Marketing,1
6,2022,Andaman and Nicobar Islands,Other Specialty Retailers,1
7,2022,Andaman and Nicobar Islands,Transportation & Storage,1
8,2022,Andaman and Nicobar Islands,Travel & Tourism,2
9,2022,Andhra Pradesh,Advertising,2
10,2022,Andhra Pradesh,Aeronautics Aerospace & Defence,5
11,2022,Andhra Pradesh,Agriculture,21
12,2022,Andhra Pradesh,AI,3
13,2022,Andhra Pradesh,Analytics,1
14,2022,Andhra Pradesh,Automotive,12
15,2022,Andhra Pradesh,Biotechnology,2
16,2022,Andhra Pradesh,Construction,18
17,2022,Andhra Pradesh,Education,20
18,2022,Andhra Pradesh,Enterprise Software,3
19,2022,Andhra Pradesh,Fashion,2
20,2022,Andhra Pradesh,Finance Technology,8
21,2022,Andhra Pradesh,Food & Beverages,16
22,2022,Andhra Pradesh,Green Technology,9
23,2022,Andhra Pradesh,Healthcare & Lifesciences,12
24,2022,Andhra Pradesh,Human Resources,5
25,2022,Andhra Pradesh,Indic Language Startups,1
26,2022,Andhra Pradesh,Internet of Things,3
27,2022,Andhra Pradesh,IT Services,40
28,2022,Andhra Pradesh,Logistics,3
29,2022,Andhra Pradesh,Marketing,2
30,2022,Andhra Pradesh,Media & Entertainment,1
31,2022,Andhra Pradesh,Non- Renewable Energy,8
32,2022,Andhra Pradesh,Other Specialty Retailers,1
33,2022,Andhra Pradesh,Others,6
34,2022,Andhra Pradesh,Professional & Commercial Services,16
35,2022,Andhra Pradesh,Real Estate,3
36,2022,Andhra Pradesh,Renewable Energy,6
37,2022,Andhra Pradesh,Retail,4
38,2022,Andhra Pradesh,Robotics,2
39,2022,Andhra Pradesh,Social Network,2
40,2022,Andhra Pradesh,Sports,1
41,2022,Andhra Pradesh,Technology Hardware,6
42,2022,Andhra Pradesh,Telecommunication & Networking,1
43,2022,Andhra Pradesh,Toys and Games,1
44,2022,Andhra Pradesh,Transportation & Storage,6
45,2022,Andhra Pradesh,Travel & Tourism,3
46,2022,Andhra Pradesh,Waste Management,3
47,2022,Arunachal Pradesh,Construction,2
48,2022,Arunachal Pradesh,IT Services,1
