S No.,Year,State,Industry,Count,Last Update
1,2022,Andaman and Nicobar Islands,Agriculture,1,2/10/2022 4:00
2,2022,Andaman and Nicobar Islands,AR VR (Augmented + Virtual Reality),1,2/10/2022 4:00
3,2022,Andaman and Nicobar Islands,Construction,1,2/10/2022 4:00
4,2022,Andaman and Nicobar Islands,Internet of Things,1,2/10/2022 4:00
5,2022,Andaman and Nicobar Islands,Marketing,1,2/10/2022 4:00
6,2022,Andaman and Nicobar Islands,Other Specialty Retailers,1,2/10/2022 4:00
7,2022,Andaman and Nicobar Islands,Transportation & Storage,1,2/10/2022 4:00
8,2022,Andaman and Nicobar Islands,Travel & Tourism,2,2/10/2022 4:00
9,2022,Andhra Pradesh,Advertising,2,2/10/2022 4:00
10,2022,Andhra Pradesh,Aeronautics Aerospace & Defence,5,2/10/2022 4:00
11,2022,Andhra Pradesh,Agriculture,21,2/10/2022 4:00
12,2022,Andhra Pradesh,AI,3,2/10/2022 4:00
13,2022,Andhra Pradesh,Analytics,1,2/10/2022 4:00
14,2022,Andhra Pradesh,Automotive,12,2/10/2022 4:00
15,2022,Andhra Pradesh,Biotechnology,2,2/10/2022 4:00
16,2022,Andhra Pradesh,Construction,18,2/10/2022 4:00
17,2022,Andhra Pradesh,Education,20,2/10/2022 4:00
18,2022,Andhra Pradesh,Enterprise Software,3,2/10/2022 4:00
19,2022,Andhra Pradesh,Fashion,2,2/10/2022 4:00
20,2022,Andhra Pradesh,Finance Technology,8,2/10/2022 4:00
21,2022,Andhra Pradesh,Food & Beverages,16,2/10/2022 4:00
22,2022,Andhra Pradesh,Green Technology,9,2/10/2022 4:00
23,2022,Andhra Pradesh,Healthcare & Lifesciences,12,2/10/2022 4:00
24,2022,Andhra Pradesh,Human Resources,5,2/10/2022 4:00
25,2022,Andhra Pradesh,Indic Language Startups,1,2/10/2022 4:00
26,2022,Andhra Pradesh,Internet of Things,3,2/10/2022 4:00
27,2022,Andhra Pradesh,IT Services,40,2/10/2022 4:00
28,2022,Andhra Pradesh,Logistics,3,2/10/2022 4:00
29,2022,Andhra Pradesh,Marketing,2,2/10/2022 4:00
30,2022,Andhra Pradesh,Media & Entertainment,1,2/10/2022 4:00
31,2022,Andhra Pradesh,Non- Renewable Energy,8,2/10/2022 4:00
32,2022,Andhra Pradesh,Other Specialty Retailers,1,2/10/2022 4:00
33,2022,Andhra Pradesh,Others,6,2/10/2022 4:00
34,2022,Andhra Pradesh,Professional & Commercial Services,16,2/10/2022 4:00
35,2022,Andhra Pradesh,Real Estate,3,2/10/2022 4:00
36,2022,Andhra Pradesh,Renewable Energy,6,2/10/2022 4:00
37,2022,Andhra Pradesh,Retail,4,2/10/2022 4:00
38,2022,Andhra Pradesh,Robotics,2,2/10/2022 4:00
39,2022,Andhra Pradesh,Social Network,2,2/10/2022 4:00
40,2022,Andhra Pradesh,Sports,1,2/10/2022 4:00
41,2022,Andhra Pradesh,Technology Hardware,6,2/10/2022 4:00
42,2022,Andhra Pradesh,Telecommunication & Networking,1,2/10/2022 4:00
43,2022,Andhra Pradesh,Toys and Games,1,2/10/2022 4:00
44,2022,Andhra Pradesh,Transportation & Storage,6,2/10/2022 4:00
45,2022,Andhra Pradesh,Travel & Tourism,3,2/10/2022 4:00
46,2022,Andhra Pradesh,Waste Management,3,2/10/2022 4:00
47,2022,Arunachal Pradesh,Construction,2,2/10/2022 4:00
48,2022,Arunachal Pradesh,IT Services,1,2/10/2022 4:00
49,2022,Arunachal Pradesh,Professional & Commercial Services,1,2/10/2022 4:00
50,2022,Arunachal Pradesh,Social Impact,1,2/10/2022 4:00
51,2022,Assam,Advertising,1,2/10/2022 4:00
52,2022,Assam,Aeronautics Aerospace & Defence,1,2/10/2022 4:00
53,2022,Assam,Agriculture,18,2/10/2022 4:00
54,2022,Assam,Analytics,2,2/10/2022 4:00
55,2022,Assam,Architecture Interior Design,1,2/10/2022 4:00
56,2022,Assam,Automotive,5,2/10/2022 4:00
57,2022,Assam,Biotechnology,1,2/10/2022 4:00
58,2022,Assam,Chemicals,4,2/10/2022 4:00
59,2022,Assam,Construction,27,2/10/2022 4:00
60,2022,Assam,Design,1,2/10/2022 4:00
61,2022,Assam,Education,16,2/10/2022 4:00
62,2022,Assam,Enterprise Software,1,2/10/2022 4:00
63,2022,Assam,Finance Technology,5,2/10/2022 4:00
64,2022,Assam,Food & Beverages,11,2/10/2022 4:00
65,2022,Assam,Green Technology,4,2/10/2022 4:00
66,2022,Assam,Healthcare & Lifesciences,17,2/10/2022 4:00
67,2022,Assam,Indic Language Startups,1,2/10/2022 4:00
68,2022,Assam,IT Services,6,2/10/2022 4:00
69,2022,Assam,Logistics,1,2/10/2022 4:00
70,2022,Assam,Marketing,3,2/10/2022 4:00
71,2022,Assam,Media & Entertainment,2,2/10/2022 4:00
72,2022,Assam,Non- Renewable Energy,11,2/10/2022 4:00
73,2022,Assam,Other Specialty Retailers,1,2/10/2022 4:00
74,2022,Assam,Others,9,2/10/2022 4:00
75,2022,Assam,Pets & Animals,2,2/10/2022 4:00
76,2022,Assam,Professional & Commercial Services,10,2/10/2022 4:00
77,2022,Assam,Real Estate,2,2/10/2022 4:00
78,2022,Assam,Renewable Energy,2,2/10/2022 4:00
79,2022,Assam,Retail,8,2/10/2022 4:00
80,2022,Assam,Robotics,1,2/10/2022 4:00
81,2022,Assam,Security Solutions,1,2/10/2022 4:00
82,2022,Assam,Social Impact,2,2/10/2022 4:00
83,2022,Assam,Social Network,1,2/10/2022 4:00
84,2022,Assam,Technology Hardware,2,2/10/2022 4:00
85,2022,Assam,Telecommunication & Networking,3,2/10/2022 4:00
86,2022,Assam,Textiles & Apparel,1,2/10/2022 4:00
87,2022,Assam,Toys and Games,1,2/10/2022 4:00
88,2022,Assam,Transportation & Storage,1,2/10/2022 4:00
89,2022,Assam,Travel & Tourism,4,2/10/2022 4:00
90,2022,Assam,Waste Management,2,2/10/2022 4:00
91,2022,Bihar,Advertising,2,2/10/2022 4:00
92,2022,Bihar,Aeronautics Aerospace & Defence,4,2/10/2022 4:00
93,2022,Bihar,Agriculture,22,2/10/2022 4:00
94,2022,Bihar,AI,3,2/10/2022 4:00
95,2022,Bihar,Animation,1,2/10/2022 4:00
96,2022,Bihar,AR VR (Augmented + Virtual Reality),1,2/10/2022 4:00
97,2022,Bihar,Art & Photography,3,2/10/2022 4:00
98,2022,Bihar,Automotive,8,2/10/2022 4:00
99,2022,Bihar,Biotechnology,1,2/10/2022 4:00
100,2022,Bihar,Chemicals,2,2/10/2022 4:00
101,2022,Bihar,Construction,62,2/10/2022 4:00
102,2022,Bihar,Education,23,2/10/2022 4:00
103,2022,Bihar,Enterprise Software,1,2/10/2022 4:00
104,2022,Bihar,Events,2,2/10/2022 4:00
105,2022,Bihar,Fashion,4,2/10/2022 4:00
